fishid,ka,date,diel_period,tl_mm,weight_g,lake,sex
T412067,9.05,3000-08-11,night,1145,8200,Most,F
T412067,25.89,3000-08-12,night,1145,8200,Most,F
T412067,6.75,3000-08-13,day,1145,8200,Most,F
T412067,29.32,3000-08-13,night,1145,8200,Most,F
T412067,7.77,3000-08-14,day,1145,8200,Most,F
T412067,24.61,3000-08-14,night,1145,8200,Most,F
T412067,31.43,3000-08-15,day,1145,8200,Most,F
T412067,21.45,3000-08-15,night,1145,8200,Most,F
T412067,17.16,3000-08-16,day,1145,8200,Most,F
T412067,30.91,3000-08-16,night,1145,8200,Most,F
T412067,2.35,3000-08-17,day,1145,8200,Most,F
T412067,26.81,3000-08-17,night,1145,8200,Most,F
T412067,9.74,3000-08-18,night,1145,8200,Most,F
T412067,6.37,3000-08-19,night,1145,8200,Most,F
T412067,4.22,3000-08-20,night,1145,8200,Most,F
T412067,2.44,3000-08-21,night,1145,8200,Most,F
T412067,23.13,3000-08-22,night,1145,8200,Most,F
T412067,5.44,3000-08-23,day,1145,8200,Most,F
T412067,19.74,3000-08-23,night,1145,8200,Most,F
T412067,6.72,3000-08-24,day,1145,8200,Most,F
T412067,6.57,3000-08-24,night,1145,8200,Most,F
T412067,8.84,3000-08-25,day,1145,8200,Most,F
T412067,9.01,3000-08-25,night,1145,8200,Most,F
T412067,19.58,3000-08-26,day,1145,8200,Most,F
T412067,36.58,3000-08-26,night,1145,8200,Most,F
T412067,5.34,3000-08-27,day,1145,8200,Most,F
T412067,13.78,3000-08-27,night,1145,8200,Most,F
T412067,8.84,3000-08-28,day,1145,8200,Most,F
T412067,20.88,3000-08-28,night,1145,8200,Most,F
T412067,25.07,3000-08-29,night,1145,8200,Most,F
T412067,3.17,3000-08-30,night,1145,8200,Most,F
T412067,9,3000-09-01,night,1145,8200,Most,F
T412067,8.51,3000-09-02,night,1145,8200,Most,F
T412067,3.92,3000-09-13,night,1145,8200,Most,F
T412067,1.84,3000-09-14,night,1145,8200,Most,F
T412067,4.78,3000-09-16,day,1145,8200,Most,F
T412067,5.76,3000-09-16,night,1145,8200,Most,F
T412067,8.11,3000-09-17,night,1145,8200,Most,F
T412067,4.12,3000-09-18,day,1145,8200,Most,F
T412067,11.1,3000-09-18,night,1145,8200,Most,F
T412067,6.47,3000-09-19,night,1145,8200,Most,F
T412067,5.93,3000-09-21,night,1145,8200,Most,F
T412067,21.38,3000-09-22,night,1145,8200,Most,F
T412067,22.93,3000-09-23,night,1145,8200,Most,F
T412067,27.05,3000-09-24,night,1145,8200,Most,F
T412067,6.64,3000-09-25,night,1145,8200,Most,F
T412067,7.45,3000-09-26,night,1145,8200,Most,F
T412067,4.81,3000-09-27,night,1145,8200,Most,F
T412067,19.06,3000-09-28,night,1145,8200,Most,F
T412067,13.39,3000-09-29,night,1145,8200,Most,F
T412067,7.99,3000-09-30,night,1145,8200,Most,F
T412067,5.11,3000-10-01,day,1145,8200,Most,F
T412067,11.02,3000-10-02,night,1145,8200,Most,F
T412067,1.84,3000-10-03,day,1145,8200,Most,F
T412067,36.52,3000-10-03,night,1145,8200,Most,F
T412067,1.91,3000-10-04,day,1145,8200,Most,F
T412067,37.69,3000-10-04,night,1145,8200,Most,F
T412067,7.15,3000-10-05,night,1145,8200,Most,F
T412067,4.29,3000-10-06,night,1145,8200,Most,F
T412067,10.1,3000-10-07,night,1145,8200,Most,F
T412067,6.12,3000-10-08,day,1145,8200,Most,F
T412067,24.17,3000-10-08,night,1145,8200,Most,F
T412067,16.99,3000-10-09,night,1145,8200,Most,F
T412067,14.28,3000-10-10,night,1145,8200,Most,F
T412067,21.88,3000-10-11,night,1145,8200,Most,F
T412067,1.71,3000-10-12,day,1145,8200,Most,F
T412067,11.23,3000-10-12,night,1145,8200,Most,F
T412067,4.3,3000-10-13,night,1145,8200,Most,F
T412067,4.96,3000-10-14,day,1145,8200,Most,F
T412067,11.86,3000-10-14,night,1145,8200,Most,F
T412067,1.89,3000-10-15,day,1145,8200,Most,F
T412067,9.16,3000-10-15,night,1145,8200,Most,F
T412067,2.12,3000-10-16,day,1145,8200,Most,F
T412067,5.77,3000-10-16,night,1145,8200,Most,F
T412067,1.71,3000-10-17,day,1145,8200,Most,F
T412067,3.2,3000-10-17,night,1145,8200,Most,F
T412067,1.74,3000-10-18,day,1145,8200,Most,F
T412067,9.62,3000-10-18,night,1145,8200,Most,F
T412067,1.72,3000-10-19,day,1145,8200,Most,F
T412067,7.49,3000-10-19,night,1145,8200,Most,F
T412067,7.76,3000-10-20,night,1145,8200,Most,F
T412067,9.58,3000-10-30,night,1145,8200,Most,F
T412067,1.69,3000-10-31,day,1145,8200,Most,F
T412067,10.66,3000-10-31,night,1145,8200,Most,F
T412067,22.93,3000-11-05,night,1145,8200,Most,F
T412067,2.01,3000-11-06,day,1145,8200,Most,F
T412067,11.77,3000-11-06,night,1145,8200,Most,F
T412067,1.7,3000-11-07,day,1145,8200,Most,F
T412067,13.55,3000-11-07,night,1145,8200,Most,F
T412067,9.73,3000-11-08,day,1145,8200,Most,F
T412067,22.62,3000-11-08,night,1145,8200,Most,F
T412067,8,3000-11-09,day,1145,8200,Most,F
T412067,10.66,3000-11-09,night,1145,8200,Most,F
T412067,5.96,3000-11-10,day,1145,8200,Most,F
T412067,17.69,3000-11-10,night,1145,8200,Most,F
T412067,3.41,3000-11-12,day,1145,8200,Most,F
T412067,16.49,3000-11-12,night,1145,8200,Most,F
T412067,3.67,3000-11-13,day,1145,8200,Most,F
T412067,8.95,3000-11-13,night,1145,8200,Most,F
T412067,9.66,3000-11-14,day,1145,8200,Most,F
T412067,17.08,3000-11-14,night,1145,8200,Most,F
T412067,9.58,3000-11-15,day,1145,8200,Most,F
T412067,11.79,3000-11-15,night,1145,8200,Most,F
T412067,5.72,3000-11-16,day,1145,8200,Most,F
T412067,12.3,3000-11-16,night,1145,8200,Most,F
T412067,3.94,3000-11-17,day,1145,8200,Most,F
T412067,7.1,3000-11-17,night,1145,8200,Most,F
T412067,5.37,3000-11-18,day,1145,8200,Most,F
T412067,9.31,3000-11-18,night,1145,8200,Most,F
T412067,3.64,3000-11-19,day,1145,8200,Most,F
T412067,12.39,3000-11-19,night,1145,8200,Most,F
T412067,7.01,3000-11-20,day,1145,8200,Most,F
T412067,7.22,3000-11-20,night,1145,8200,Most,F
T412070,5.02,3000-06-01,day,760,3160,Most,M
T412070,19.2,3000-06-01,night,760,3160,Most,M
T412070,3.88,3000-06-02,day,760,3160,Most,M
T412070,14.64,3000-06-02,night,760,3160,Most,M
T412070,11.93,3000-06-03,day,760,3160,Most,M
T412070,23.46,3000-06-03,night,760,3160,Most,M
T412070,3.35,3000-06-04,day,760,3160,Most,M
T412070,32.25,3000-06-04,night,760,3160,Most,M
T412070,3.38,3000-06-05,day,760,3160,Most,M
T412070,21.97,3000-06-05,night,760,3160,Most,M
T412070,4.67,3000-06-06,day,760,3160,Most,M
T412070,11.44,3000-06-07,day,760,3160,Most,M
T412070,18.71,3000-06-07,night,760,3160,Most,M
T412070,12.98,3000-06-08,day,760,3160,Most,M
T412070,12.69,3000-06-08,night,760,3160,Most,M
T412070,14.03,3000-06-09,day,760,3160,Most,M
T412070,22.48,3000-06-09,night,760,3160,Most,M
T412070,9.97,3000-06-10,day,760,3160,Most,M
T412070,33.04,3000-06-10,night,760,3160,Most,M
T412070,1.95,3000-06-11,day,760,3160,Most,M
T412070,16.96,3000-06-11,night,760,3160,Most,M
T412070,4.94,3000-06-12,day,760,3160,Most,M
T412070,5,3000-06-12,night,760,3160,Most,M
T412070,11.12,3000-06-13,day,760,3160,Most,M
T412070,2.67,3000-06-14,day,760,3160,Most,M
T412070,22.35,3000-06-14,night,760,3160,Most,M
T412070,11.84,3000-06-15,day,760,3160,Most,M
T412070,41.15,3000-06-15,night,760,3160,Most,M
T412070,4.62,3000-06-16,day,760,3160,Most,M
T412070,27.43,3000-06-16,night,760,3160,Most,M
T412070,5.66,3000-06-17,day,760,3160,Most,M
T412070,33.21,3000-06-17,night,760,3160,Most,M
T412070,15.57,3000-06-18,day,760,3160,Most,M
T412070,25.54,3000-06-18,night,760,3160,Most,M
