fishid,pr_pel_mean,date,diel_period,tl_mm,weight_g,lake,sex
T412067,0.011037527593819,3000-08-05,day,1145,8200,Most,F
T412067,1,3000-08-07,night,1145,8200,Most,F
T412067,0.879120879120879,3000-08-09,night,1145,8200,Most,F
T412067,0.370716510903427,3000-08-10,night,1145,8200,Most,F
T412067,0.236363636363636,3000-08-11,night,1145,8200,Most,F
T412067,0.0355029585798817,3000-08-12,night,1145,8200,Most,F
T412067,0.1,3000-08-13,day,1145,8200,Most,F
T412067,0.494791666666667,3000-08-13,night,1145,8200,Most,F
T412067,0.0375,3000-08-14,night,1145,8200,Most,F
T412067,0.0666666666666667,3000-08-14,day,1145,8200,Most,F
T412067,0.488372093023256,3000-08-15,night,1145,8200,Most,F
T412067,0.467576791808874,3000-08-15,day,1145,8200,Most,F
T412067,0.0645161290322581,3000-08-16,night,1145,8200,Most,F
T412067,0.245614035087719,3000-08-16,day,1145,8200,Most,F
T412067,0.0502645502645503,3000-08-17,night,1145,8200,Most,F
T412067,0.12987012987013,3000-08-18,night,1145,8200,Most,F
T412067,0.428571428571429,3000-08-19,night,1145,8200,Most,F
T412067,0.256410256410256,3000-08-20,night,1145,8200,Most,F
T412067,0.05,3000-08-21,night,1145,8200,Most,F
T412067,0.454545454545455,3000-08-22,day,1145,8200,Most,F
T412067,0.229508196721311,3000-08-22,night,1145,8200,Most,F
T412067,0.590062111801242,3000-08-23,night,1145,8200,Most,F
T412067,0.0416666666666667,3000-08-24,night,1145,8200,Most,F
T412067,0.108108108108108,3000-08-24,day,1145,8200,Most,F
T412067,0.0232558139534884,3000-08-25,night,1145,8200,Most,F
T412067,0.24,3000-08-25,day,1145,8200,Most,F
T412067,0.297658862876254,3000-08-26,day,1145,8200,Most,F
T412067,0.107142857142857,3000-08-26,night,1145,8200,Most,F
T412067,0.0130718954248366,3000-08-27,night,1145,8200,Most,F
T412067,0.0106382978723404,3000-08-27,day,1145,8200,Most,F
T412067,0.0335820895522388,3000-08-28,night,1145,8200,Most,F
T412067,0.416666666666667,3000-08-28,day,1145,8200,Most,F
T412067,0.404545454545455,3000-08-29,night,1145,8200,Most,F
T412067,0.333333333333333,3000-09-01,night,1145,8200,Most,F
T412067,0.285714285714286,3000-09-03,day,1145,8200,Most,F
T412067,0.111111111111111,3000-09-09,night,1145,8200,Most,F
T412067,0.25,3000-09-11,night,1145,8200,Most,F
T412067,0.153846153846154,3000-09-12,night,1145,8200,Most,F
T412067,0.148936170212766,3000-09-14,night,1145,8200,Most,F
T412067,0.4,3000-09-15,night,1145,8200,Most,F
T412067,0.0833333333333333,3000-09-16,day,1145,8200,Most,F
T412067,0.0158730158730159,3000-09-16,night,1145,8200,Most,F
T412067,0.0476190476190476,3000-09-18,night,1145,8200,Most,F
T412067,0.0952380952380952,3000-09-19,night,1145,8200,Most,F
T412067,0.222222222222222,3000-09-20,night,1145,8200,Most,F
T412067,0.1875,3000-09-21,night,1145,8200,Most,F
T412067,0.428571428571429,3000-09-22,night,1145,8200,Most,F
T412067,0.173387096774194,3000-09-24,night,1145,8200,Most,F
T412067,0.0769230769230769,3000-09-25,night,1145,8200,Most,F
T412067,0.0526315789473684,3000-09-26,night,1145,8200,Most,F
T412067,0.317073170731707,3000-09-28,night,1145,8200,Most,F
T412067,0.0428571428571429,3000-09-29,night,1145,8200,Most,F
T412067,0.133333333333333,3000-09-30,night,1145,8200,Most,F
T412067,0.17948717948718,3000-10-01,day,1145,8200,Most,F
T412067,1,3000-10-01,night,1145,8200,Most,F
T412067,0.266666666666667,3000-10-02,night,1145,8200,Most,F
T412067,0.430678466076696,3000-10-03,night,1145,8200,Most,F
T412067,0.404255319148936,3000-10-04,night,1145,8200,Most,F
T412067,0.0952380952380952,3000-10-05,night,1145,8200,Most,F
T412067,0.0357142857142857,3000-10-06,night,1145,8200,Most,F
T412067,0.0338983050847458,3000-10-07,night,1145,8200,Most,F
T412067,0.0555555555555556,3000-10-08,night,1145,8200,Most,F
T412067,0.0633802816901408,3000-10-09,night,1145,8200,Most,F
T412067,0.862745098039216,3000-10-10,night,1145,8200,Most,F
